polar angle azimuth angle         value
          0             0   2.71638e-05
          5             0   6.01779e-05
          5            60   1.71148e-05
          5           120   1.64683e-05
          5           180   3.46827e-05
          5          -120   1.74226e-05
          5           -60   1.70782e-05
         10       13.8462  -1.19289e-05
         10       41.5385   6.34588e-05
         10       69.2308  -1.31538e-05
         10       96.9231     0.0042949
         10       124.615     0.0193111
         10       152.308     0.0210449
         10           180     0.0209699
         10      -152.308     0.0210434
         10      -124.615     0.0193096
         10      -96.9231    0.00429539
         10      -69.2308  -1.36247e-05
         10      -41.5385     6.307e-05
         10      -13.8462  -1.24349e-05
         15             0  -0.000116743
         15       18.9474  -3.60174e-05
         15       37.8947   0.000127613
         15       56.8421  -2.73756e-05
         15       75.7895   0.000484987
         15       94.7368      0.037957
         15       113.684     0.0954816
         15       132.632      0.144724
         15       151.579      0.161019
         15       170.526       0.15608
         15      -170.526      0.156083
         15      -151.579      0.161018
         15      -132.632      0.144723
         15      -113.684     0.0954819
         15      -94.7368     0.0379559
         15      -75.7895   0.000488703
         15      -56.8421  -2.68297e-05
         15      -37.8947   0.000125718
         15      -18.9474  -3.58979e-05
         20           7.2  -2.64799e-05
         20          21.6   -0.00487257
         20            36    -0.0229602
         20          50.4  -0.000782791
         20          64.8   6.31896e-05
         20          79.2    0.00942673
         20          93.6     0.0733053
         20           108      0.154588
         20         122.4      0.249541
         20         136.8      0.302724
         20         151.2      0.327007
         20         165.6      0.314366
         20           180      0.327013
         20        -165.6      0.314366
         20        -151.2      0.327007
         20        -136.8      0.302724
         20        -122.4      0.249541
         20          -108      0.154587
         20         -93.6      0.073305
         20         -79.2    0.00942705
         20         -64.8   6.40737e-05
         20         -50.4  -0.000772712
         20           -36    -0.0229619
         20         -21.6   -0.00486685
         20          -7.2    -2.373e-05
         25             0   0.000229688
         25            12    -0.0233244
         25            24     -0.161587
         25            36     -0.220088
         25            48     -0.123979
         25            60   -0.00341573
         25            72  -9.11601e-05
         25            84     0.0280938
         25            96      0.109654
         25           108      0.200181
         25           120      0.309356
         25           132      0.380776
         25           144      0.417623
         25           156      0.422564
         25           168      0.408269
         25           180      0.425906
         25          -168      0.408268
         25          -156      0.422564
         25          -144      0.417624
         25          -132      0.380773
         25          -120      0.309357
         25          -108      0.200181
         25           -96      0.109654
         25           -84     0.0280936
         25           -72   -9.2895e-05
         25           -60   -0.00342916
         25           -48     -0.123979
         25           -36     -0.220088
         25           -24     -0.161589
         25           -12    -0.0233214
         30             5   -0.00051218
         30            15     -0.139057
         30            25     -0.346687
         30            35     -0.429352
         30            45     -0.324944
         30            55     -0.112606
         30            65   0.000322727
         30            75   8.42572e-05
         30            85       0.01975
         30            95     0.0910154
         30           105      0.173756
         30           115      0.259981
         30           125      0.349177
         30           135      0.394218
         30           145       0.40998
         30           155      0.412952
         30           165       0.39895
         30           175      0.411582
         30          -175      0.411582
         30          -165      0.398947
         30          -155      0.412953
         30          -145       0.40998
         30          -135       0.39422
         30          -125      0.349177
         30          -115      0.259981
         30          -105      0.173755
         30           -95     0.0910158
         30           -85     0.0197501
         30           -75   8.36135e-05
         30           -65   0.000325718
         30           -55     -0.112607
         30           -45     -0.324944
         30           -35     -0.429352
         30           -25     -0.346687
         30           -15     -0.139058
         30            -5  -0.000501863
         35             0   0.000226706
         35       8.78049      -0.02059
         35        17.561     -0.212736
         35       26.3415      -0.42232
         35        35.122       -0.4978
         35       43.9024     -0.393307
         35       52.6829     -0.173419
         35       61.4634   -0.00614627
         35       70.2439   -6.6356e-05
         35       79.0244   8.94067e-05
         35       87.8049     0.0105827
         35       96.5854     0.0652948
         35       105.366      0.134592
         35       114.146      0.191742
         35       122.927      0.256174
         35       131.707      0.303429
         35       140.488      0.308554
         35       149.268      0.301271
         35       158.049      0.303346
         35       166.829      0.311766
         35        175.61      0.301989
         35       -175.61      0.301989
         35      -166.829      0.311764
         35      -158.049      0.303347
         35      -149.268       0.30127
         35      -140.488      0.308553
         35      -131.707      0.303429
         35      -122.927      0.256174
         35      -114.146      0.191742
         35      -105.366      0.134592
         35      -96.5854      0.065295
         35      -87.8049     0.0105824
         35      -79.0244   8.95041e-05
         35      -70.2439  -6.57182e-05
         35      -61.4634   -0.00615125
         35      -52.6829      -0.17342
         35      -43.9024     -0.393308
         35       -35.122     -0.497799
         35      -26.3415      -0.42232
         35       -17.561     -0.212736
         35      -8.78049    -0.0205928
         40       3.91304   6.87034e-05
         40       11.7391    -0.0160908
         40       19.5652     -0.167229
         40       27.3913     -0.329956
         40       35.2174       -0.3861
         40       43.0435     -0.301233
         40       50.8696     -0.128212
         40       58.6957   -0.00307167
         40       66.5217  -5.09289e-06
         40       74.3478   5.67547e-05
         40       82.1739  -6.09151e-05
         40            90   0.000244042
         40       97.8261     0.0243153
         40       105.652     0.0694141
         40       113.478      0.110089
         40       121.304      0.133399
         40        129.13      0.158694
         40       136.957      0.170332
         40       144.783      0.159055
         40       152.609      0.146743
         40       160.435      0.165079
         40       168.261      0.168962
         40       176.087      0.151472
         40      -176.087       0.15147
         40      -168.261      0.168962
         40      -160.435      0.165078
         40      -152.609      0.146743
         40      -144.783      0.159055
         40      -136.957      0.170332
         40       -129.13      0.158694
         40      -121.304        0.1334
         40      -113.478      0.110088
         40      -105.652     0.0694139
         40      -97.8261      0.024316
         40           -90   0.000245358
         40      -82.1739  -6.06028e-05
         40      -74.3478   5.73603e-05
         40      -66.5217  -6.03718e-06
         40      -58.6957   -0.00305931
         40      -50.8696     -0.128212
         40      -43.0435     -0.301234
         40      -35.2174     -0.386099
         40      -27.3913     -0.329955
         40      -19.5652     -0.167229
         40      -11.7391    -0.0160932
         40      -3.91304   6.80382e-05
         45             0   0.000312514
         45       7.05882   1.89231e-06
         45       14.1176   0.000342373
         45       21.1765    -0.0474877
         45       28.2353     -0.132245
         45       35.2941     -0.162685
         45       42.3529     -0.112731
         45       49.4118    -0.0263375
         45       56.4706  -0.000111991
         45       63.5294  -3.30366e-08
         45       70.5882   5.08334e-05
         45       77.6471  -3.47162e-05
         45       84.7059   1.08053e-05
         45       91.7647  -2.81798e-05
         45       98.8235   8.46215e-05
         45       105.882     0.0115668
         45       112.941     0.0309199
         45           120      0.043402
         45       127.059     0.0416427
         45       134.118     0.0370948
         45       141.176     0.0372825
         45       148.235     0.0429214
         45       155.294     0.0420667
         45       162.353     0.0371603
         45       169.412     0.0372341
         45       176.471     0.0425072
         45      -176.471     0.0425058
         45      -169.412     0.0372336
         45      -162.353     0.0371608
         45      -155.294     0.0420661
         45      -148.235     0.0429206
         45      -141.176     0.0372833
         45      -134.118     0.0370952
         45      -127.059     0.0416427
         45          -120     0.0434019
         45      -112.941     0.0309198
         45      -105.882      0.011566
         45      -98.8235   8.28252e-05
         45      -91.7647  -2.85737e-05
         45      -84.7059   1.08787e-05
         45      -77.6471  -3.47503e-05
         45      -70.5882   5.05048e-05
         45      -63.5294  -1.34765e-06
         45      -56.4706  -0.000115154
         45      -49.4118    -0.0263378
         45      -42.3529     -0.112731
         45      -35.2941     -0.162685
         45      -28.2353     -0.132246
         45      -21.1765    -0.0474902
         45      -14.1176   0.000347702
         45      -7.05882   1.87822e-06
         50       3.27273     0.0232823
         50       9.81818     0.0167372
         50       16.3636    0.00690819
         50       22.9091    0.00017246
         50       29.4545    -0.0010332
         50            36   -0.00289014
         50       42.5455   0.000325357
         50       49.0909  -8.05614e-05
         50       55.6364  -4.70059e-05
         50       62.1818    1.2122e-06
         50       68.7273   2.98416e-05
         50       75.2727  -6.99643e-06
         50       81.8182  -2.59806e-05
         50       88.3636    1.0788e-05
         50       94.9091   3.42169e-06
         50       101.455  -2.51701e-05
         50           108   5.03461e-05
         50       114.545    -8.365e-05
         50       121.091   0.000154459
         50       127.636   2.84284e-05
         50       134.182  -1.65625e-05
         50       140.727   -6.7976e-05
         50       147.273   7.72384e-05
         50       153.818    0.00013923
         50       160.364  -0.000127899
         50       166.909   6.44628e-05
         50       173.455  -6.94378e-05
         50           180   0.000167259
         50      -173.455  -6.70777e-05
         50      -166.909   6.49908e-05
         50      -160.364  -0.000127742
         50      -153.818   0.000140393
         50      -147.273   7.85326e-05
         50      -140.727  -6.69811e-05
         50      -134.182  -1.66651e-05
         50      -127.636   2.39464e-05
         50      -121.091   0.000154831
         50      -114.545  -8.35567e-05
         50          -108   5.06619e-05
         50      -101.455   -2.4891e-05
         50      -94.9091   3.42051e-06
         50      -88.3636   1.06678e-05
         50      -81.8182  -2.58576e-05
         50      -75.2727  -7.21594e-06
         50      -68.7273   3.00238e-05
         50      -62.1818   1.27398e-06
         50      -55.6364  -4.75266e-05
         50      -49.0909  -8.18698e-05
         50      -42.5455   0.000312866
         50           -36   -0.00288906
         50      -29.4545   -0.00102426
         50      -22.9091   0.000174469
         50      -16.3636    0.00690632
         50      -9.81818     0.0167366
         50      -3.27273     0.0232825
         55             0     0.0788507
         55       6.10169      0.072824
         55       12.2034     0.0562472
         55       18.3051     0.0334904
         55       24.4068     0.0117919
         55       30.5085   0.000133524
         55       36.6102  -0.000107973
         55       42.7119   1.61511e-05
         55       48.8136  -1.81855e-05
         55       54.9153   4.59955e-05
         55       61.0169   3.45559e-05
         55       67.1186   2.19332e-05
         55       73.2203   6.60912e-06
         55        79.322  -1.10703e-05
         55       85.4237  -1.77143e-05
         55       91.5254   3.15583e-07
         55       97.6271   2.16581e-05
         55       103.729   1.73616e-05
         55       109.831  -2.35508e-05
         55       115.932  -2.79619e-07
         55       122.034   8.66591e-06
         55       128.136  -5.43408e-06
         55       134.237   4.35771e-06
         55       140.339   1.52089e-06
         55       146.441   4.80302e-06
         55       152.542   2.70821e-05
         55       158.644    1.3463e-06
         55       164.746  -8.28333e-06
         55       170.847  -1.02518e-05
         55       176.949   1.63449e-05
         55      -176.949   1.63443e-05
         55      -170.847  -1.02933e-05
         55      -164.746   -7.9075e-06
         55      -158.644   1.44809e-06
         55      -152.542   2.68968e-05
         55      -146.441   4.74356e-06
         55      -140.339   1.53061e-06
         55      -134.237   4.54897e-06
         55      -128.136  -4.76266e-06
         55      -122.034   8.87973e-06
         55      -115.932  -2.77511e-07
         55      -109.831  -2.34032e-05
         55      -103.729   1.70147e-05
         55      -97.6271   2.16014e-05
         55      -91.5254    5.7736e-07
         55      -85.4237  -1.76938e-05
         55       -79.322  -1.11501e-05
         55      -73.2203   7.02144e-06
         55      -67.1186   2.21257e-05
         55      -61.0169   3.47831e-05
         55      -54.9153   4.65778e-05
         55      -48.8136  -1.77936e-05
         55      -42.7119   1.65529e-05
         55      -36.6102  -0.000108417
         55      -30.5085    0.00013273
         55      -24.4068     0.0117916
         55      -18.3051     0.0334907
         55      -12.2034     0.0562465
         55      -6.10169     0.0728241
         60       2.90323      0.151081
         60       8.70968      0.135238
         60       14.5161      0.106342
         60       20.3226     0.0698515
         60        26.129     0.0333427
         60       31.9355    0.00678983
         60       37.7419  -5.97769e-06
         60       43.5484  -3.99112e-05
         60       49.3548   2.62455e-05
         60       55.1613  -1.58057e-05
         60       60.9677  -3.06437e-05
         60       66.7742  -2.12027e-05
         60       72.5806  -1.20361e-05
         60       78.3871  -1.44617e-05
         60       84.1935  -1.35347e-05
         60            90  -5.52332e-06
         60       95.8065   2.14855e-07
         60       101.613   2.14382e-05
         60       107.419   -9.3637e-06
         60       113.226  -8.29764e-06
         60       119.032   4.39555e-06
         60       124.839   5.49657e-07
         60       130.645   1.22603e-05
         60       136.452  -8.61198e-06
         60       142.258   2.29627e-05
         60       148.065   1.04489e-05
         60       153.871   8.39508e-06
         60       159.677   9.57827e-06
         60       165.484    -2.645e-05
         60        171.29   1.63848e-05
         60       177.097  -3.81709e-07
         60      -177.097  -5.01827e-07
         60       -171.29   1.64505e-05
         60      -165.484  -2.66991e-05
         60      -159.677   9.73235e-06
         60      -153.871   8.33688e-06
         60      -148.065   1.03553e-05
         60      -142.258   2.28522e-05
         60      -136.452  -8.81199e-06
         60      -130.645   1.25176e-05
         60      -124.839   7.05126e-07
         60      -119.032   4.63783e-06
         60      -113.226  -8.30543e-06
         60      -107.419  -9.59492e-06
         60      -101.613   2.14092e-05
         60      -95.8065   3.39211e-07
         60           -90   -5.5243e-06
         60      -84.1935  -1.34604e-05
         60      -78.3871  -1.44254e-05
         60      -72.5806  -1.19237e-05
         60      -66.7742  -2.13516e-05
         60      -60.9677  -3.05707e-05
         60      -55.1613  -1.58986e-05
         60      -49.3548   2.64037e-05
         60      -43.5484  -3.98772e-05
         60      -37.7419  -4.94071e-06
         60      -31.9355     0.0067896
         60       -26.129     0.0333432
         60      -20.3226      0.069852
         60      -14.5161      0.106342
         60      -8.70968      0.135238
         60      -2.90323      0.151081
         65             0      0.236454
         65       5.53846      0.226845
         65       11.0769       0.19933
         65       16.6154       0.15769
         65       22.1538      0.107923
         65       27.6923      0.058361
         65       33.2308     0.0187635
         65       38.7692     0.0002963
         65       44.3077  -6.97553e-06
         65       49.8462   1.63236e-05
         65       55.3846  -1.11616e-05
         65       60.9231   2.29064e-05
         65       66.4615   1.96384e-05
         65            72   9.43784e-06
         65       77.5385    7.0733e-06
         65       83.0769   1.19325e-05
         65       88.6154   1.68006e-05
         65       94.1538   2.39467e-06
         65       99.6923   2.83983e-06
         65       105.231  -4.54039e-06
         65       110.769    3.5641e-06
         65       116.308  -1.03069e-05
         65       121.846  -1.07465e-05
         65       127.385    2.3803e-06
         65       132.923   -4.5563e-06
         65       138.462   5.17871e-07
         65           144  -1.81643e-06
         65       149.538  -4.72239e-06
         65       155.077   3.00135e-06
         65       160.615  -8.13419e-06
         65       166.154   7.58162e-06
         65       171.692   1.91692e-06
         65       177.231   5.39868e-06
         65      -177.231   5.25919e-06
         65      -171.692    2.0471e-06
         65      -166.154   7.43903e-06
         65      -160.615  -8.28505e-06
         65      -155.077   2.99184e-06
         65      -149.538   -4.8337e-06
         65          -144  -1.80515e-06
         65      -138.462   3.57178e-07
         65      -132.923  -4.66182e-06
         65      -127.385   2.33743e-06
